party_code,rel3,Pro Death Penalty,Pro Wealth Redistribution,Unweighted,Effective,Weighted,party_name
CON,Christian,24.544194694592086,-41.27164736645541,2407,1722.8020465979182,2090.3171488516155,Conservative
CON,No religion,27.948877432467516,-42.42599034873772,1534,1003.8466965241865,1602.830359180145,Conservative
CON,Other religions,36.27877613479999,-25.794343791166234,236,151.44784369950548,271.1175974304553,Conservative
LAB,Christian,-19.28799422485977,42.26043767949406,1619,970.015108017915,1242.0661204233354,Labour
LAB,No religion,-30.04056777431917,51.55402449572817,2831,1875.5201352150968,2420.6828164439107,Labour
LAB,Other religions,12.841286229246762,54.28099475735208,281,149.9479071626094,326.6371473710721,Labour
LDM,Christian,-9.593436812487823,19.919111474807703,1119,719.3240579514112,854.9941673036211,Liberal Democrat
LDM,No religion,-28.867375920307243,34.29990546145931,1582,1088.3491076208416,1450.8970045020214,Liberal Democrat
LDM,Other religions,9.388755658438626,29.81543071849441,137,71.97668898609808,157.89281271158518,Liberal Democrat
RFM,Christian,68.11156558147258,-29.6861825258362,3174,2273.6717394542006,2650.609500831525,Reform UK
RFM,No religion,70.13305005072098,-23.329957854698236,2492,1737.0843187396574,2614.8545985446644,Reform UK
RFM,Other religions,64.58420315121354,-29.728481971175626,197,124.19913996653203,198.20364670604215,Reform UK
GRN,Christian,-15.81314286072582,56.751732998257566,560,350.9467044540042,571.3448090423267,Green
GRN,No religion,-41.621887295947246,73.05525688777173,2594,1813.2398439857955,2875.852791933192,Green
GRN,Other religions,-2.02899777433524,59.0471655187226,306,166.77825514356115,393.1477057089107,Green
