rel3,age2,Pro Death Penalty,Pro Wealth Redistribution,Unweighted,Effective,Weighted
Christian,18-35,7.175832361835941,15.689624076712391,811,593.9014521639182,1271.364451245728
Christian,36-55,24.13709911693089,2.4600793667330305,2675,1969.2827376024088,3338.4543968382754
Christian,56+,31.69095944229776,-13.800931444206372,8612,6569.650497972624,5820.859389669856
No religion,18-35,-10.264927351406318,38.95785932062601,3034,2250.3717083431407,4547.236102029011
No religion,36-55,12.33004112101821,21.58786603862605,5842,4190.960486629752,7460.684704541941
No religion,56+,16.341936482023677,6.179640502956417,7498,5257.706373939521,5219.615563167767
Other religions,18-35,13.811536048020596,26.0719180769451,373,261.35805664345804,659.3202830500846
Other religions,36-55,27.352197801781365,29.788337457906465,701,435.9877714093767,1027.0862190480418
Other religions,56+,16.66362948871034,11.169731815887946,700,489.19775630020547,479.99091997764316
